datetime,symbol,exchtime,localtime,last_prc,status,prev_close,open,high,low,high_limited,low_limited,volume,turnover,num_trades,weighted_ask_prc,weighted_bid_prc,total_ask_vol,total_bid_vol,ask_prc1,ask_vol1,bid_prc1,bid_vol1,ask_prc2,ask_vol2,bid_prc2,bid_vol2,ask_prc3,ask_vol3,bid_prc3,bid_vol3,ask_prc4,ask_vol4,bid_prc4,bid_vol4,ask_prc5,ask_vol5,bid_prc5,bid_vol5,ask_prc6,ask_vol6,bid_prc6,bid_vol6,ask_prc7,ask_vol7,bid_prc7,bid_vol7,ask_prc8,ask_vol8,bid_prc8,bid_vol8,ask_prc9,ask_vol9,bid_prc9,bid_vol9,ask_prc10,ask_vol10,bid_prc10,bid_vol10,num
2019-06-11 13:16:48.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85907455,1078796451,35260,12.94,12.24,15357474,9419689,12.63,99600,12.62,90500,12.64,81000,12.61,27100,12.65,108800,12.6,72600,12.66,123100,12.59,94800,12.67,111500,12.58,298200,12.68,182100,12.57,72100,12.69,112900,12.56,257600,12.7,537200,12.55,264116,12.71,254028,12.54,79473,12.72,522283,12.53,229200,71210016
2019-06-11 13:16:51.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85908655,1078811607,35262,12.94,12.24,15360274,9414689,12.63,98400,12.62,90500,12.64,81000,12.61,22100,12.65,108800,12.6,72600,12.66,123100,12.59,94800,12.67,111500,12.58,298200,12.68,182100,12.57,72100,12.69,112900,12.56,257600,12.7,537200,12.55,264116,12.71,254028,12.54,79473,12.72,522283,12.53,229200,71228773
2019-06-11 13:16:54.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85918755,1078939132,35267,12.94,12.24,15346974,9420189,12.63,92100,12.62,86800,12.64,82700,12.61,22100,12.65,110100,12.6,72600,12.66,123100,12.59,104800,12.67,111500,12.58,298200,12.68,182100,12.57,72100,12.69,102900,12.56,257600,12.7,537200,12.55,264116,12.71,254028,12.54,79473,12.72,522283,12.53,229200,71246868
2019-06-11 13:16:57.000,000001.SZ,1.56023E+15,1.56023E+15,12.62,79,12.34,12.34,12.72,12.3,13.57,11.11,85968755,1079570132,35273,12.94,12.24,15345074,9365589,12.63,92200,12.62,37000,12.64,82700,12.61,17100,12.65,110100,12.6,72800,12.66,123100,12.59,104800,12.67,111500,12.58,298200,12.68,182100,12.57,72100,12.69,102900,12.56,257600,12.7,532200,12.55,264116,12.71,253928,12.54,79473,12.72,522283,12.53,229200,71264906
2019-06-11 13:17:00.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85970955,1079597918,35276,12.94,12.24,15343374,9369589,12.63,90000,12.62,37000,12.64,82700,12.61,17100,12.65,111100,12.6,72800,12.66,123100,12.59,104800,12.67,111500,12.58,298200,12.68,182100,12.57,72100,12.69,102400,12.56,257600,12.7,532200,12.55,264116,12.71,253928,12.54,79473,12.72,522283,12.53,233200,71282913
2019-06-11 13:17:03.000,000001.SZ,1.56023E+15,1.56023E+15,12.62,79,12.34,12.34,12.72,12.3,13.57,11.11,85975255,1079652199,35279,12.94,12.24,15331674,9566989,12.63,88700,12.62,34300,12.64,81800,12.61,17200,12.65,111100,12.6,72800,12.66,123100,12.59,104800,12.67,111500,12.58,298200,12.68,182100,12.57,72100,12.69,102400,12.56,257600,12.7,532700,12.55,264116,12.71,253928,12.54,79473,12.72,522283,12.53,233200,71301295
2019-06-11 13:17:06.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85984155,1079764556,35283,12.94,12.24,15331774,9563789,12.63,84800,12.62,30600,12.64,81800,12.61,17500,12.65,111100,12.6,72800,12.66,123400,12.59,105000,12.67,111500,12.58,298200,12.68,184100,12.57,72100,12.69,102400,12.56,257600,12.7,532700,12.55,264116,12.71,253928,12.54,79473,12.72,523983,12.53,233200,71319267
2019-06-11 13:17:09.000,000001.SZ,1.56023E+15,1.56023E+15,12.62,79,12.34,12.34,12.72,12.3,13.57,11.11,85987455,1079806214,35289,12.94,12.24,15337874,9612089,12.63,83600,12.62,28500,12.64,81800,12.61,17500,12.65,111100,12.6,72800,12.66,123400,12.59,155000,12.67,111500,12.58,298200,12.68,184100,12.57,72100,12.69,102400,12.56,257600,12.7,532700,12.55,264116,12.71,253928,12.54,79473,12.72,523983,12.53,233600,71338262
2019-06-11 13:17:12.000,000001.SZ,1.56023E+15,1.56023E+15,12.62,79,12.34,12.34,12.72,12.3,13.57,11.11,86004455,1080020766,35296,12.94,12.24,15359374,9594289,12.63,83000,12.62,13900,12.64,83900,12.61,17500,12.65,111100,12.6,72800,12.66,123400,12.59,155000,12.67,111500,12.58,298200,12.68,184100,12.57,72400,12.69,102400,12.56,259200,12.7,532700,12.55,264116,12.71,253928,12.54,79473,12.72,543983,12.53,233600,71356863
2019-06-11 13:17:15.000,000001.SZ,1.56023E+15,1.56023E+15,12.62,79,12.34,12.34,12.72,12.3,13.57,11.11,86018355,1080196184,35308,12.94,12.24,15383574,9581289,12.62,19000,12.61,17400,12.63,83000,12.6,72800,12.64,83900,12.59,155000,12.65,111100,12.58,298200,12.66,123400,12.57,70400,12.67,111500,12.56,262200,12.68,184100,12.55,264116,12.69,102400,12.54,79473,12.7,532700,12.53,233600,12.71,253928,12.52,651600,71376138
